timestamp,num_exchanges,exchange_compra,ask_compra,exchange_venta,bid_venta,diff_pct,arbitraje
2026-07-17 19:33:10.936440,3,kucoin,63925.5,binance,63930.05,0.007117660401565745,False
2026-07-17 19:33:25.741413,3,binance,63924.49,okx,63927.7,0.005021549643961378,False
2026-07-17 19:33:31.476004,3,binance,63924.49,okx,63927.7,0.005021549643961378,False
2026-07-17 19:33:37.209652,3,binance,63924.49,okx,63927.7,0.005021549643961378,False
2026-07-17 19:33:42.945103,3,kucoin,63925.9,okx,63936.1,0.01595597402617263,False
2026-07-17 19:33:48.679263,3,kucoin,63929.8,okx,63936.1,0.009854559219637219,False
2026-07-17 19:33:54.361991,3,kucoin,63923.2,binance,63928.46,0.00822862434922225,False
2026-07-17 19:34:00.101643,3,kucoin,63923.2,binance,63928.46,0.00822862434922225,False
2026-07-17 19:34:05.825636,3,kucoin,63923.2,binance,63928.0,0.007509010812980124,False
2026-07-17 19:34:11.618423,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:17.352571,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:23.085549,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:28.756891,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:34.452390,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:40.189094,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:45.922101,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:51.656025,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:34:57.391659,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:35:03.125076,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:35:08.864767,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:35:14.593932,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:35:20.270204,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:35:26.066029,3,kucoin,63923.2,okx,63927.9,0.007352573087712076,False
2026-07-17 19:35:31.799240,3,kucoin,63909.9,binance,63920.0,0.015803498362536236,False
2026-07-17 19:35:37.534754,3,kucoin,63909.9,binance,63918.0,0.012674092746191974,False
2026-07-17 19:35:43.267093,3,kucoin,63909.9,binance,63917.21,0.011437977527734625,False
2026-07-17 19:35:49.009430,3,kucoin,63909.9,binance,63917.21,0.011437977527734625,False
2026-07-17 19:35:54.736367,3,kucoin,63909.9,binance,63917.21,0.011437977527734625,False
2026-07-17 19:36:00.410831,3,kucoin,63909.9,binance,63917.21,0.011437977527734625,False
2026-07-17 19:36:06.205668,3,kucoin,63909.9,binance,63917.21,0.011437977527734625,False
