timestamp,open,high,low,close,volume
2026-06-12 17:00:00,160.0,191.1,160.0,173.49,29556.697
2026-06-12 18:00:00,173.34,174.07,165.34,169.19,15004.141
2026-06-12 19:00:00,169.06,169.19,157.56,161.18,17460.067
2026-06-12 20:00:00,161.33,164.79,160.02,163.62,2802.627
2026-06-12 21:00:00,163.62,169.35,162.85,166.54,5944.524
2026-06-12 22:00:00,166.66,171.0,166.33,167.94,2568.563
2026-06-12 23:00:00,167.94,171.27,167.33,168.03,1776.445
2026-06-13 00:00:00,168.04,170.33,166.51,170.28,2228.226
2026-06-13 01:00:00,170.28,176.08,169.87,175.99,6775.147
2026-06-13 02:00:00,175.97,181.47,166.33,166.33,12611.798
2026-06-13 03:00:00,166.33,169.65,163.64,169.43,5380.787
2026-06-13 04:00:00,169.58,170.78,166.51,168.36,2418.944
2026-06-13 05:00:00,168.36,170.0,168.31,169.89,1245.178
2026-06-13 06:00:00,169.9,172.44,169.86,172.42,2001.642
2026-06-13 07:00:00,172.43,173.44,167.11,168.33,3655.369
2026-06-13 08:00:00,168.33,168.69,166.0,166.36,3014.831
2026-06-13 09:00:00,166.36,169.6,166.36,168.28,2420.733
2026-06-13 10:00:00,168.97,169.0,168.14,168.35,1168.926
2026-06-13 11:00:00,168.32,169.0,167.1,168.99,1227.839
2026-06-13 12:00:00,169.0,169.0,167.13,168.84,868.738
2026-06-13 13:00:00,168.84,169.5,167.78,168.08,1783.387
2026-06-13 14:00:00,168.01,169.4,167.17,169.26,1282.487
2026-06-13 15:00:00,169.4,169.49,168.1,168.71,1163.375
2026-06-13 16:00:00,168.64,169.0,167.1,168.96,1016.438
2026-06-13 17:00:00,168.97,169.0,168.17,168.33,563.95
2026-06-13 18:00:00,168.37,169.0,168.12,168.57,247.389
2026-06-13 19:00:00,168.41,168.9,168.13,168.18,138.193
2026-06-13 20:00:00,168.18,168.57,167.15,167.15,306.475
2026-06-13 21:00:00,167.19,167.99,167.0,167.28,348.984
2026-06-13 22:00:00,167.27,168.77,166.6,168.75,821.327
2026-06-13 23:00:00,168.75,168.84,167.0,167.11,238.723
2026-06-14 00:00:00,167.12,167.99,167.03,167.63,244.803
2026-06-14 01:00:00,167.6,167.98,167.49,167.89,300.378
2026-06-14 02:00:00,167.89,168.0,167.57,167.98,496.894
2026-06-14 03:00:00,167.98,168.1,167.57,167.75,528.855
2026-06-14 04:00:00,167.99,168.39,167.57,168.0,408.418
2026-06-14 05:00:00,167.97,168.0,167.6,167.6,374.004
2026-06-14 06:00:00,167.6,167.83,167.18,167.53,614.518
2026-06-14 07:00:00,167.53,167.98,166.7,167.89,721.204
2026-06-14 08:00:00,167.89,169.3,167.55,168.7,1249.783
2026-06-14 09:00:00,168.75,168.88,167.7,168.86,679.711
2026-06-14 10:00:00,168.82,168.85,167.83,168.68,481.73
2026-06-14 11:00:00,168.68,169.85,167.7,168.29,1466.829
2026-06-14 12:00:00,168.43,168.89,168.1,168.24,293.357
2026-06-14 13:00:00,168.23,168.29,168.0,168.03,374.446
2026-06-14 14:00:00,168.07,168.45,167.51,167.63,379.644
2026-06-14 15:00:00,167.51,167.96,167.0,167.82,565.321
2026-06-14 16:00:00,167.86,168.0,167.55,167.57,345.967
2026-06-14 17:00:00,167.57,167.67,167.57,167.63,357.125
2026-06-14 18:00:00,167.63,168.3,167.6,168.3,215.229
2026-06-14 19:00:00,168.31,168.32,167.62,167.77,130.43
2026-06-14 20:00:00,167.87,168.28,167.57,167.95,312.674
2026-06-14 21:00:00,168.0,169.02,167.57,168.86,840.332
2026-06-14 22:00:00,168.86,169.46,168.11,169.32,806.471
2026-06-14 23:00:00,169.39,169.85,168.0,168.41,612.031
2026-06-15 00:00:00,168.42,169.47,168.0,168.95,601.225
2026-06-15 01:00:00,168.98,170.04,168.9,169.63,993.431
2026-06-15 02:00:00,169.56,169.64,167.52,167.69,2170.699
2026-06-15 03:00:00,167.69,168.5,167.5,168.47,618.097
2026-06-15 04:00:00,168.46,169.79,168.16,169.55,1438.735
2026-06-15 05:00:00,169.54,169.57,168.35,168.98,777.647
2026-06-15 06:00:00,168.94,171.38,168.92,170.94,2127.502
2026-06-15 07:00:00,170.93,173.34,170.72,171.16,2326.618
2026-06-15 08:00:00,171.11,171.25,169.0,170.17,3419.202
2026-06-15 09:00:00,170.26,172.34,169.56,171.0,1863.038
2026-06-15 10:00:00,171.0,171.36,168.8,168.99,2213.751
2026-06-15 11:00:00,168.86,170.36,168.0,169.76,3350.451
2026-06-15 12:00:00,169.63,171.61,169.5,170.75,1951.15
2026-06-15 13:00:00,170.74,174.93,168.61,173.78,10059.084
2026-06-15 14:00:00,173.7,175.19,169.44,173.32,10268.609
2026-06-15 15:00:00,173.32,178.15,172.78,176.07,5297.544
2026-06-15 16:00:00,176.12,179.3,174.04,179.18,8380.562
2026-06-15 17:00:00,179.1,188.0,178.82,188.0,6520.787
2026-06-15 18:00:00,187.93,188.81,182.75,187.24,4952.67
2026-06-15 19:00:00,187.24,192.7,181.5,192.28,8827.986
2026-06-15 20:00:00,192.28,195.55,189.73,193.17,3072.641
2026-06-15 21:00:00,193.18,198.04,191.79,197.85,1970.664
2026-06-15 22:00:00,197.8,199.8,196.51,199.8,2574.259
2026-06-15 23:00:00,199.87,202.33,198.52,199.4,4328.753
2026-06-16 00:00:00,199.32,229.94,199.27,229.87,17408.827
2026-06-16 01:00:00,229.66,229.76,209.01,215.07,34841.391
2026-06-16 02:00:00,215.18,220.0,210.5,212.8,14634.54
2026-06-16 03:00:00,212.89,214.63,212.16,213.66,5692.114
2026-06-16 04:00:00,213.59,213.95,210.33,212.69,5142.622
2026-06-16 05:00:00,212.67,213.84,206.66,210.56,5442.279
2026-06-16 06:00:00,210.55,215.71,210.33,214.66,5071.532
2026-06-16 07:00:00,214.93,215.79,213.0,213.43,3699.652
2026-06-16 08:00:00,213.43,214.5,208.22,212.32,8963.379
2026-06-16 09:00:00,212.41,214.06,210.69,210.93,5512.792
2026-06-16 10:00:00,210.91,213.11,207.75,207.88,5700.569
2026-06-16 11:00:00,207.88,212.16,199.76,203.55,12460.921
2026-06-16 12:00:00,203.48,204.56,199.9,201.93,7945.463
2026-06-16 13:00:00,202.06,220.14,196.35,219.06,43565.496
2026-06-16 14:00:00,218.93,225.69,205.2,208.16,56076.336
2026-06-16 15:00:00,208.12,214.74,206.49,211.34,15788.734
2026-06-16 16:00:00,211.32,217.59,210.94,217.49,20755.933
2026-06-16 17:00:00,217.22,218.28,210.65,211.76,11308.336
2026-06-16 18:00:00,211.78,214.65,208.0,208.77,6252.828
2026-06-16 19:00:00,208.56,209.46,195.17,201.63,17903.663
2026-06-16 20:00:00,201.95,205.41,197.89,203.4,7192.171
2026-06-16 21:00:00,203.37,208.2,201.89,205.57,5781.899
2026-06-16 22:00:00,205.5,207.63,203.09,205.76,3957.357
2026-06-16 23:00:00,205.72,206.29,203.98,205.77,2215.548
2026-06-17 00:00:00,205.85,207.88,203.53,204.92,5580.211
2026-06-17 01:00:00,204.9,204.9,200.18,203.1,4791.271
2026-06-17 02:00:00,203.22,204.96,202.28,203.94,2412.373
2026-06-17 03:00:00,203.92,205.06,202.85,204.74,1802.597
2026-06-17 04:00:00,204.73,206.0,203.72,204.14,2784.835
2026-06-17 05:00:00,204.17,204.67,203.13,204.42,2243.593
2026-06-17 06:00:00,204.4,205.56,203.49,205.53,4408.878
2026-06-17 07:00:00,205.54,207.94,205.36,206.87,4837.245
2026-06-17 08:00:00,207.29,211.14,205.75,208.2,5598.349
2026-06-17 09:00:00,208.14,209.53,207.5,208.56,3008.872
2026-06-17 10:00:00,208.62,208.71,206.4,207.42,2312.681
2026-06-17 11:00:00,207.65,208.81,203.84,204.73,3451.971
2026-06-17 12:00:00,204.69,208.43,203.67,207.62,6513.544
2026-06-17 13:00:00,207.74,213.99,196.31,197.45,24865.165
2026-06-17 14:00:00,197.66,200.0,190.91,193.66,32241.223
2026-06-17 15:00:00,193.76,195.99,187.35,195.61,39463.999
2026-06-17 16:00:00,195.68,197.5,193.08,195.16,11252.618
2026-06-17 17:00:00,195.16,199.7,194.78,197.6,10035.993
2026-06-17 18:00:00,197.75,200.0,194.0,197.67,8215.492
2026-06-17 19:00:00,197.68,198.77,190.43,191.89,6006.107
2026-06-17 20:00:00,191.89,194.41,191.07,193.54,2793.331
2026-06-17 21:00:00,193.55,194.47,193.16,193.72,2120.545
2026-06-17 22:00:00,193.74,196.14,193.3,195.03,1706.426
2026-06-17 23:00:00,195.03,195.12,194.53,194.69,1298.804
2026-06-18 00:00:00,194.67,195.07,192.0,193.31,8039.611
2026-06-18 01:00:00,193.39,193.73,190.94,191.83,3739.828
2026-06-18 02:00:00,191.83,192.37,190.1,190.8,4512.752
2026-06-18 03:00:00,190.79,192.58,190.79,192.14,4008.673
2026-06-18 04:00:00,192.09,192.15,190.11,190.23,3179.043
2026-06-18 05:00:00,190.25,190.52,188.29,189.41,8725.245
2026-06-18 06:00:00,189.42,191.0,188.91,190.44,3566.741
2026-06-18 07:00:00,190.43,194.57,190.43,193.36,7419.163
2026-06-18 08:00:00,193.43,194.85,191.56,193.88,3897.727
2026-06-18 09:00:00,193.73,194.8,193.05,193.25,956.792
2026-06-18 10:00:00,193.25,193.43,189.71,190.58,5105.735
2026-06-18 11:00:00,190.61,191.07,187.82,189.64,5121.216
2026-06-18 12:00:00,189.57,189.64,185.43,186.65,15378.522
2026-06-18 13:00:00,186.89,189.2,176.76,178.01,35074.369
2026-06-18 14:00:00,178.01,183.55,177.54,179.57,25776.892
2026-06-18 15:00:00,179.57,180.82,175.37,176.3,30788.661
2026-06-18 16:00:00,176.29,176.9,172.43,175.91,37864.421
2026-06-18 17:00:00,175.82,180.93,175.73,179.94,17990.858
2026-06-18 18:00:00,179.94,180.76,178.24,178.9,4125.771
2026-06-18 19:00:00,179.0,189.64,178.77,185.0,22639.731
2026-06-18 20:00:00,185.13,185.17,181.53,182.31,10794.664
2026-06-18 21:00:00,182.28,182.55,181.46,182.38,2404.014
2026-06-18 22:00:00,182.43,182.45,179.9,180.32,2417.849
2026-06-18 23:00:00,180.38,181.91,180.31,181.38,1153.682
2026-06-19 00:00:00,181.37,182.0,179.73,181.22,5271.003
2026-06-19 01:00:00,181.2,181.82,180.4,181.76,2372.153
2026-06-19 02:00:00,181.84,183.22,181.38,183.16,2256.671
2026-06-19 03:00:00,183.11,184.06,176.67,179.88,12506.792
2026-06-19 04:00:00,179.91,180.42,177.19,177.5,6428.009
2026-06-19 05:00:00,177.52,179.0,176.88,178.46,5580.498
2026-06-19 06:00:00,178.41,179.23,177.11,177.48,3391.124
2026-06-19 07:00:00,177.43,178.8,177.38,178.7,3011.677
2026-06-19 08:00:00,178.7,179.91,178.15,179.74,2031.427
2026-06-19 09:00:00,179.73,179.77,177.78,178.21,1731.538
2026-06-19 10:00:00,178.2,178.96,178.1,178.86,785.986
2026-06-19 11:00:00,178.84,179.0,178.04,178.35,802.376
2026-06-19 12:00:00,178.39,178.94,177.27,178.92,2212.749
2026-06-19 13:00:00,178.92,179.95,178.42,179.38,5175.721
2026-06-19 14:00:00,179.38,179.45,178.55,179.04,1392.227
2026-06-19 15:00:00,179.09,179.61,178.46,179.5,964.409
2026-06-19 16:00:00,179.52,179.69,178.81,178.91,729.882
2026-06-19 17:00:00,179.02,179.5,177.82,179.26,1735.164
2026-06-19 18:00:00,179.22,179.45,178.67,179.02,406.487
2026-06-19 19:00:00,179.06,179.57,178.56,179.53,375.355
2026-06-19 20:00:00,179.54,179.99,179.04,179.73,452.407
2026-06-19 21:00:00,179.75,179.8,178.81,178.89,432.117
2026-06-19 22:00:00,179.13,179.7,178.57,179.63,442.759
2026-06-19 23:00:00,179.55,179.84,179.37,179.57,485.87
2026-06-20 00:00:00,179.57,179.65,178.6,178.67,426.174
2026-06-20 01:00:00,178.74,178.96,178.5,178.74,620.713
2026-06-20 02:00:00,178.77,178.93,178.37,178.66,917.418
2026-06-20 03:00:00,178.66,179.23,178.66,178.98,548.844
2026-06-20 04:00:00,178.98,179.73,178.95,179.72,728.381
2026-06-20 05:00:00,179.73,179.85,179.56,179.8,1175.794
2026-06-20 06:00:00,179.78,179.98,179.64,179.97,1863.254
2026-06-20 07:00:00,179.96,181.15,179.4,179.48,1583.397
2026-06-20 08:00:00,179.48,181.5,179.48,180.85,1253.345
2026-06-20 09:00:00,180.8,181.45,180.27,181.16,1888.195
2026-06-20 10:00:00,181.11,181.11,180.52,180.67,1074.059
2026-06-20 11:00:00,180.62,180.63,179.9,180.11,1577.438
2026-06-20 12:00:00,180.19,181.15,180.08,180.41,770.471
2026-06-20 13:00:00,180.39,180.44,179.6,180.1,924.433
2026-06-20 14:00:00,180.09,180.56,179.53,180.43,1275.64
2026-06-20 15:00:00,180.46,180.87,180.27,180.54,1011.314
2026-06-20 16:00:00,180.39,180.65,180.16,180.49,637.052
2026-06-20 17:00:00,180.49,180.49,180.0,180.09,1217.029
2026-06-20 18:00:00,180.11,180.17,179.89,179.91,313.652
2026-06-20 19:00:00,179.92,180.37,179.92,180.35,259.062
2026-06-20 20:00:00,180.35,180.78,180.33,180.76,207.728
2026-06-20 21:00:00,180.77,180.82,180.37,180.76,237.315
2026-06-20 22:00:00,180.78,181.25,180.65,180.91,784.654
2026-06-20 23:00:00,180.91,181.59,180.8,181.37,630.099
2026-06-21 00:00:00,181.37,181.72,181.03,181.71,380.114
2026-06-21 01:00:00,181.71,181.71,180.82,180.92,365.794
2026-06-21 02:00:00,180.92,181.06,180.69,180.83,762.535
2026-06-21 03:00:00,180.83,181.48,180.72,181.46,900.683
2026-06-21 04:00:00,181.45,181.71,181.4,181.41,407.466
2026-06-21 05:00:00,181.4,181.67,181.39,181.52,261.878
2026-06-21 06:00:00,181.54,181.54,181.09,181.18,1395.954
2026-06-21 07:00:00,181.2,181.36,181.12,181.23,329.454
2026-06-21 08:00:00,181.23,181.3,180.83,180.95,377.26
2026-06-21 09:00:00,180.99,181.09,180.81,180.96,322.882
2026-06-21 10:00:00,180.95,180.95,180.2,180.68,1517.518
2026-06-21 11:00:00,180.69,180.82,180.23,180.28,359.11
2026-06-21 12:00:00,180.27,180.38,179.98,180.38,641.646
2026-06-21 13:00:00,180.38,180.39,179.91,180.07,1390.47
2026-06-21 14:00:00,180.06,180.44,179.98,180.39,839.737
2026-06-21 15:00:00,180.44,181.07,180.29,180.92,765.306
2026-06-21 16:00:00,180.91,181.08,180.51,180.84,440.439
2026-06-21 17:00:00,180.8,181.01,180.7,181.01,308.352
2026-06-21 18:00:00,181.01,181.28,180.73,181.15,343.695
2026-06-21 19:00:00,181.17,181.28,181.08,181.18,791.799
2026-06-21 20:00:00,181.22,181.27,180.23,180.44,173.239
2026-06-21 21:00:00,180.33,180.38,179.64,180.25,677.412
2026-06-21 22:00:00,180.11,180.83,178.83,179.6,1065.771
2026-06-21 23:00:00,179.49,179.71,175.21,175.69,5328.875
2026-06-22 00:00:00,175.72,179.23,175.5,177.49,11006.989
2026-06-22 01:00:00,177.46,179.1,177.31,177.58,4199.613
2026-06-22 02:00:00,177.57,177.88,176.33,176.36,4307.353
2026-06-22 03:00:00,176.36,177.17,176.0,176.5,4765.226
2026-06-22 04:00:00,176.5,177.78,176.5,177.62,3531.307
2026-06-22 05:00:00,177.57,178.71,177.4,178.47,1830.971
2026-06-22 06:00:00,178.47,180.96,178.42,180.09,2537.074
2026-06-22 07:00:00,180.05,180.87,179.05,179.72,1116.047
2026-06-22 08:00:00,179.8,180.3,177.9,178.4,5192.278
2026-06-22 09:00:00,178.39,178.91,177.08,177.57,3285.672
2026-06-22 10:00:00,177.53,177.83,175.34,175.38,6201.995
2026-06-22 11:00:00,175.5,176.8,174.41,176.39,7747.206
2026-06-22 12:00:00,176.37,178.6,176.25,177.64,5690.832
2026-06-22 13:00:00,177.54,177.69,169.9,172.08,30047.566
2026-06-22 14:00:00,172.13,172.14,165.32,167.82,35467.034
2026-06-22 15:00:00,167.82,169.49,166.86,167.01,20246.633
2026-06-22 16:00:00,167.04,167.11,165.24,165.75,18168.398
2026-06-22 17:00:00,165.79,166.84,165.17,166.4,6822.822
2026-06-22 18:00:00,166.38,166.66,161.77,161.77,12829.891
2026-06-22 19:00:00,161.77,162.21,154.11,154.98,41118.619
2026-06-22 20:00:00,154.96,156.77,153.2,155.78,16579.933
2026-06-22 21:00:00,155.76,157.32,155.59,157.05,5829.538
2026-06-22 22:00:00,157.07,157.88,154.66,156.5,7050.251
2026-06-22 23:00:00,156.5,157.2,155.46,156.93,4252.755
2026-06-23 00:00:00,156.91,157.35,150.0,153.86,19260.495
2026-06-23 01:00:00,153.84,154.48,152.47,153.91,7406.518
2026-06-23 02:00:00,153.89,154.37,153.22,153.43,3252.678
2026-06-23 03:00:00,153.44,153.55,151.02,152.78,7480.525
2026-06-23 04:00:00,152.76,153.66,152.39,152.95,4841.563
2026-06-23 05:00:00,152.91,153.31,150.58,150.97,11887.009
2026-06-23 06:00:00,151.01,151.57,147.09,148.59,26626.195
2026-06-23 07:00:00,148.7,151.7,148.63,150.0,14476.148
2026-06-23 08:00:00,150.01,152.0,147.27,149.05,14194.924
2026-06-23 09:00:00,149.05,151.0,148.69,150.1,8827.884
2026-06-23 10:00:00,150.01,150.4,148.06,149.88,10532.221
2026-06-23 11:00:00,149.89,158.77,149.88,155.15,31793.066
2026-06-23 12:00:00,155.15,156.79,150.83,151.09,16365.202
2026-06-23 13:00:00,151.05,156.3,147.23,155.63,56834.502
2026-06-23 14:00:00,155.52,159.21,154.14,158.4,40734.185
2026-06-23 15:00:00,158.5,161.44,157.02,161.27,17198.01
2026-06-23 16:00:00,161.25,165.3,161.0,163.32,18649.245
2026-06-23 17:00:00,163.31,164.58,160.44,161.16,9977.961
2026-06-23 18:00:00,161.14,162.36,158.2,158.83,6320.037
2026-06-23 19:00:00,158.82,160.1,156.21,156.32,8819.717
2026-06-23 20:00:00,156.3,157.58,154.65,157.13,15313.122
2026-06-23 21:00:00,157.14,158.4,156.75,157.48,5355.688
2026-06-23 22:00:00,157.49,157.97,156.28,157.25,3977.43
2026-06-23 23:00:00,157.25,157.36,154.74,156.92,4095.666
2026-06-24 00:00:00,157.05,158.0,156.46,156.53,2382.195
2026-06-24 01:00:00,156.62,156.69,155.28,155.88,4031.768
2026-06-24 02:00:00,155.85,156.12,154.27,154.46,2366.759
2026-06-24 03:00:00,154.38,155.24,153.32,155.24,4045.072
2026-06-24 04:00:00,155.12,155.12,153.92,154.99,3871.627
2026-06-24 05:00:00,155.01,156.48,155.0,155.96,4490.94
2026-06-24 06:00:00,156.0,157.31,155.84,156.49,2514.134
2026-06-24 07:00:00,156.49,157.29,156.04,156.89,2342.524
2026-06-24 08:00:00,156.92,158.92,156.12,157.82,12991.229
2026-06-24 09:00:00,157.84,157.99,156.7,157.21,3334.247
2026-06-24 10:00:00,157.2,157.8,156.16,156.87,3086.323
2026-06-24 11:00:00,156.84,157.49,155.1,155.27,8627.09
2026-06-24 12:00:00,155.34,155.65,152.72,153.61,13901.503
2026-06-24 13:00:00,153.65,156.32,150.96,154.16,46771.668
2026-06-24 14:00:00,154.17,158.93,153.53,157.31,30549.686
2026-06-24 15:00:00,157.33,159.96,157.03,159.0,17433.716
2026-06-24 16:00:00,159.0,159.3,155.51,156.18,17934.309
2026-06-24 17:00:00,156.14,156.53,154.36,154.82,16531.56
2026-06-24 18:00:00,154.84,158.14,154.78,155.66,8046.172
2026-06-24 19:00:00,155.79,158.52,154.26,154.66,13898.399
2026-06-24 20:00:00,154.64,155.68,152.95,153.82,16338.337
2026-06-24 21:00:00,153.9,154.44,153.78,153.99,3391.213
2026-06-24 22:00:00,154.0,154.17,153.13,153.34,1669.01
2026-06-24 23:00:00,153.33,154.31,153.33,154.13,1793.546
2026-06-25 00:00:00,154.2,155.42,153.29,153.57,3540.735
2026-06-25 01:00:00,153.66,153.99,152.98,153.52,998.894
2026-06-25 02:00:00,153.44,153.99,153.12,153.98,608.097
2026-06-25 03:00:00,153.99,154.43,153.63,154.22,2418.82
2026-06-25 04:00:00,154.21,155.24,154.0,154.84,2303.437
2026-06-25 05:00:00,154.84,156.33,154.83,155.64,2455.581
2026-06-25 06:00:00,155.64,156.52,155.43,155.83,2235.715
2026-06-25 07:00:00,155.82,156.29,155.33,155.83,1174.082
