timestamp,btc_usdt_bid,btc_usdt_ask,eth_usdt_bid,eth_usdt_ask,eth_btc_bid,eth_btc_ask,usdt_final,ganancia_usdt,ganancia_pct,rentable
2026-07-17 19:39:18.239927,63934.6,63934.61,1840.53,1840.54,0.02878,0.02879,996.9231479219839,-3.0768520780161452,-0.3076852078016145,False
2026-07-17 19:39:26.402437,63939.72,63939.73,1840.53,1840.54,0.02878,0.02879,996.8433188936576,-3.1566811063423756,-0.31566811063423755,False
2026-07-17 19:39:32.033230,63939.72,63939.73,1840.53,1840.54,0.02878,0.02879,996.8433188936576,-3.1566811063423756,-0.31566811063423755,False
2026-07-17 19:39:37.665639,63939.72,63939.73,1840.58,1840.59,0.02878,0.02879,996.8703992270098,-3.1296007729902158,-0.3129600772990216,False
2026-07-17 19:39:43.297902,63945.79,63945.8,1840.63,1840.64,0.02878,0.02879,996.8028499255628,-3.197150074437218,-0.3197150074437218,False
2026-07-17 19:39:49.032661,63945.79,63945.8,1840.63,1840.64,0.02878,0.02879,996.8028499255628,-3.197150074437218,-0.3197150074437218,False
2026-07-17 19:39:54.766485,63945.79,63945.8,1840.63,1840.64,0.02878,0.02879,996.8028499255628,-3.197150074437218,-0.3197150074437218,False
2026-07-17 19:40:00.403545,63945.79,63945.8,1840.63,1840.64,0.02878,0.02879,996.8028499255628,-3.197150074437218,-0.3197150074437218,False
2026-07-17 19:40:06.032084,63945.79,63945.8,1840.78,1840.79,0.02878,0.02879,996.8840832138873,-3.1159167861127344,-0.3115916786112734,False
2026-07-17 19:40:11.663081,63945.79,63945.8,1840.78,1840.79,0.02878,0.02879,996.8840832138873,-3.1159167861127344,-0.3115916786112734,False
2026-07-17 19:40:17.296032,63943.2,63943.21,1840.38,1840.39,0.02878,0.02879,996.7078308198138,-3.2921691801861925,-0.32921691801861924,False
2026-07-17 19:40:22.928145,63940.08,63940.09,1840.35,1840.36,0.02878,0.02879,996.7402177449878,-3.259782255012169,-0.3259782255012169,False
2026-07-17 19:40:28.560058,63940.08,63940.09,1840.35,1840.36,0.02878,0.02879,996.7402177449878,-3.259782255012169,-0.3259782255012169,False
2026-07-17 19:40:34.191926,63940.08,63940.09,1840.35,1840.36,0.02878,0.02879,996.7402177449878,-3.259782255012169,-0.3259782255012169,False
2026-07-17 19:40:39.823594,63940.08,63940.09,1840.62,1840.63,0.02878,0.02879,996.8864507217537,-3.113549278246296,-0.3113549278246296,False
2026-07-17 19:40:45.455715,63940.08,63940.09,1840.62,1840.63,0.02878,0.02879,996.8864507217537,-3.113549278246296,-0.3113549278246296,False
2026-07-17 19:40:51.097268,63940.08,63940.09,1840.62,1840.63,0.02878,0.02879,996.8864507217537,-3.113549278246296,-0.3113549278246296,False
2026-07-17 19:40:56.720088,63940.08,63940.09,1840.52,1840.53,0.02878,0.02879,996.8322903599886,-3.167709640011367,-0.3167709640011367,False
2026-07-17 19:41:02.454725,63940.08,63940.09,1840.5,1840.51,0.02878,0.02879,996.8214582876356,-3.1785417123644493,-0.31785417123644494,False
2026-07-17 19:41:08.087333,63940.0,63940.01,1840.35,1840.36,0.02878,0.02879,996.7414648392156,-3.2585351607843904,-0.32585351607843904,False
2026-07-17 19:41:13.821206,63940.0,63940.01,1840.35,1840.36,0.02878,0.02879,996.7414648392156,-3.2585351607843904,-0.32585351607843904,False
2026-07-17 19:41:19.453388,63940.0,63940.01,1840.35,1840.36,0.02878,0.02879,996.7414648392156,-3.2585351607843904,-0.32585351607843904,False
2026-07-17 19:41:25.085656,63938.0,63938.01,1840.35,1840.36,0.02878,0.02879,996.7726432091663,-3.22735679083371,-0.322735679083371,False
2026-07-17 19:41:30.718728,63938.0,63938.01,1840.35,1840.36,0.02878,0.02879,996.7726432091663,-3.22735679083371,-0.322735679083371,False
2026-07-17 19:41:36.350366,63938.0,63938.01,1840.35,1840.36,0.02878,0.02879,996.7726432091663,-3.22735679083371,-0.322735679083371,False
2026-07-17 19:41:41.981788,63941.63,63941.64,1840.62,1840.63,0.02878,0.02879,996.8622853422197,-3.1377146577802932,-0.31377146577802933,False
2026-07-17 19:41:47.613782,63941.63,63941.64,1840.62,1840.63,0.02878,0.02879,996.8622853422197,-3.1377146577802932,-0.31377146577802933,False
2026-07-17 19:41:53.246646,63939.61,63939.62,1840.68,1840.69,0.02878,0.02879,996.9262749758743,-3.073725024125679,-0.30737250241256786,False
2026-07-17 19:41:58.877260,63938.58,63938.59,1840.62,1840.63,0.02878,0.02879,996.9098376884677,-3.0901623115322536,-0.30901623115322535,False
2026-07-17 19:42:04.509271,63938.58,63938.59,1840.62,1840.63,0.02878,0.02879,996.9098376884677,-3.0901623115322536,-0.30901623115322535,False
